Date : 2021-08-30 14:16:19
Directory : c:\Users\syedh\OneDrive\Desktop\antify\src
Total : 152 files,  8382 codes, 1271 comments, 1044 blanks, all 10697 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\image\google.svg                            | XML        |         21 |          0 |          1 |         22 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\image\svg-signin.svg                        | XML        |         28 |          0 |          1 |         29 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\Signin\index.js                                    | JavaScript |         27 |          0 |          3 |         30 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\UpdateProfile\UpdateElemets.js                     | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\UpdateProfile\image\updatePF.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\UpdateProfile\index.js                             | JavaScript |        127 |         22 |         11 |        160 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\UpdateProfile\updatePf.js                          | JavaScript |        117 |          1 |         15 |        133 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\UpdateProfile\updateprofile.css                    | CSS        |        229 |         15 |         28 |        272 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\index.js                                           | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\agenda.js                                    | JavaScript |         22 |          0 |          3 |         25 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\budget.css                                   | CSS        |          7 |          1 |          0 |          8 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\budget.js                                    | JavaScript |        112 |         17 |         14 |        143 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\dashboard.js                                 | JavaScript |         16 |          0 |          3 |         19 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\drive.css                                    | CSS        |          7 |          1 |          0 |          8 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\drive.js                                     | JavaScript |         17 |          0 |          3 |         20 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\forgotpass.js                                | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\index.js                                     | JavaScript |         28 |          0 |          4 |         32 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\login.js                                     | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\note.css                                     | CSS        |         34 |          0 |          3 |         37 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\note.js                                      | JavaScript |         28 |          0 |          4 |         32 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\notePage.css                                 | CSS        |         52 |          0 |          9 |         61 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\notePage.js                                  | JavaScript |         22 |          0 |          8 |         30 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\pages.css                                    | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\settings.js                                  | JavaScript |         18 |          0 |          3 |         21 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\pages\signin.js                                    | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\syedh\OneDrive\Desktop\antify\src\serviceWorker.js                                   | JavaScript |         98 |          0 |         11 |        109 |
| Total                                                                                         |            |      8,382 |      1,271 |      1,044 |     10,697 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
